AARTI	Hindu ceremony [n]
KANKARS	KANKAR, type of coarse limestone found in India [n]
KANS	Indian wild sugar cane [n]
KANSES	KANS, Indian wild sugar cane [n]
KANTHA	Bengali embroidered quilt [n]
KANTHAS	KANTHA, Bengali embroidered quilt [n]
KARA	steel bangle traditionally worn by Sikhs [n]
KARAS	KARA, steel bangle traditionally worn by Sikhs [n]
KASME	(in Indian English) I swear [interj]
KATHAKALI	form of dance drama of S India using mime and based on Hindu literature [n]
KATHAKALIS	KATHAKALI, form of dance drama of S India using mime and based on Hindu literature [n]
KEEMA	(in Indian cookery) minced meat [n]
KEEMAS	KEEMA, (in Indian cookery) minced meat [n]
KESH	beard and uncut hair traditionally worn by Sikhs [n]
KESHES	KESH, beard and uncut hair traditionally worn by Sikhs [n]
KHANSAMA	khansamah (Indian cook or other male servant)
KHANSAMAH	Indian cook or other male servant [n]
KHANSAMAHS	KHANSAMAH, Indian cook or other male servant [n]
KHAYAL	kind of Indian classical vocal music [n]
KHAYALS	KHAYAL, kind of Indian classical vocal music [n]
KHEEMA	keema ((in Indian cookery) minced meat)
KHIDMATGAR	(in India) a male servant who serves at table [n]
KHIDMATGARS	KHIDMATGAR, (in India) a male servant who serves at table [n]
KHITMATGAR	(in India) a male servant who serves at table [n]
KHITMATGARS	KHITMATGAR, (in India) a male servant who serves at table [n]
KHUD	Indian ravine [n]
KHUDS	KHUD, Indian ravine [n]
KHUSKHUS	aromatic perennial Indian grass whose roots are woven into mats, fans, and baskets [n]
KHUSKHUSES	KHUSKHUS, aromatic perennial Indian grass whose roots are woven into mats, fans, and baskets [n]
KHYAL	khayal (kind of Indian classical vocal music)
KIRANA	small family-owned shop in India [n]
KIRANAS	KIRANA, small family-owned shop in India [n]
KIRPAN	short sword traditionally carried by Sikhs [n]
KIRPANS	KIRPAN, short sword traditionally carried by Sikhs [n]
KOFTA	Indian dish [n]
KOFTAS	KOFTA, Indian dish [n]
KOFTGAR	(in India) person skilled at inlaying steel with gold [n]
KOFTGARI	ornamental Indian metalwork [n]
KOFTGARIS	KOFTGARI, ornamental Indian metalwork [n]
KOFTGARS	KOFTGAR, (in India) person skilled at inlaying steel with gold [n]
KOFTWORK	koftgari (ornamental Indian metalwork)
KORMA	type of mild Indian dish [n]
KORMAS	KORMA, type of mild Indian dish [n]
KOS	Indian unit of distance [n]
KOSES	KOS, Indian unit of distance [n]
KOSS	kos (Indian unit of distance)
KOTWAL	senior police officer or magistrate in an Indian town [n]
KOTWALS	KOTWAL, senior police officer or magistrate in an Indian town [n]
KRISHI	Indian English word for agriculture [n]
KRISHIS	KRISHI, Indian English word for agriculture [n]
KUCCHA	kaccha (trousers worn traditionally by Sikhs)
KUEH	(in Malaysia) any cake of Malay, Chinese, or Indian origin [n]
KULFI	Indian dessert [n]
KULFIS	KULFI, Indian dessert [n]
KUMARI	(in Indian English) maiden [n]
KUMARIS	KUMARI, (in Indian English) maiden [n]
KUMKUM	red pigment used by Hindu women to make a mark on the forehead [n]
KUMKUMS	KUMKUM, red pigment used by Hindu women to make a mark on the forehead [n]
KUNJOOS	(in Indian English) stingy [adj] / stingy person [n]
KUNJOOSES	KUNJOOS, (in Indian English) stingy [adj]
KUTA	(in Indian English) male dog [n]
KUTAS	KUTA, (in Indian English) male dog [n]
KUTI	(in Indian English) female dog [n]
KUTIS	KUTI, (in Indian English) female dog [n]
LAC	lakh ((in India) 100 000, esp this sum of rupees)
LAKH	(in India) 100 000, esp this sum of rupees [n]
LAKHS	LAKH, (in India) 100 000, esp this sum of rupees [n]
LASCAR	Indian or SE Asian sailor [n]
LASCARS	LASCAR, Indian or SE Asian sailor [n]
LASHKAR	troop of Indian men with weapons [n]
LASHKARS	LASHKAR, troop of Indian men with weapons [n]
LATHEE	lathi (long heavy wooden stick used as a weapon in India)
LATHI	long heavy wooden stick used as a weapon in India [n]
LATHIS	LATHI, long heavy wooden stick used as a weapon in India [n]
LINGA	lingam ((in Sanskrit) masculine gender)
LINGAM	(in Sanskrit) masculine gender [n]
LINGAMS	LINGAM, (in Sanskrit) masculine gender [n]
LOBELINE	crystalline alkaloid extracted from the seeds of the Indian tobacco plant [n]
LOBELINES	LOBELINE, crystalline alkaloid extracted from the seeds of the Indian tobacco plant [n]
MACHAN	(in India) a raised platform used in tiger hunting [n]
MACHANS	MACHAN, (in India) a raised platform used in tiger hunting [n]
MACHI	in Indian English, fish and chips [n]
MADRASES	MADRAS, medium-hot curry [n]
MAHANT	chief priest in a Hindu temple [n]
MAHANTS	MAHANT, chief priest in a Hindu temple [n]
MAHARAJA	maharajah (former title of some Indian princes)
MAHARAJAH	former title of some Indian princes [n]
MAHARAJAHS	MAHARAJAH, former title of some Indian princes [n]
MAHARISHI	Hindu religious teacher or mystic [n]
MAHARISHIS	MAHARISHI, Hindu religious teacher or mystic [n]
MAHOUT	(in India) elephant driver or keeper [n]
MAHOUTS	MAHOUT, (in India) elephant driver or keeper [n]
MAHSEER	large freshwater Indian fish [n]
MAHSEERS	MAHSEER, large freshwater Indian fish [n]
MAHSIR	mahseer (large freshwater Indian fish)
MAHUA	Indian tree [n]
MAHUAS	MAHUA, Indian tree [n]
MAHWA	mahua (Indian tree)
MAIDAN	(in Pakistan, India, etc) open area [n]
MAIDANS	MAIDAN, (in Pakistan, India, etc) open area [n]
MAKHANI	Indian dish made with butter or ghee [n] / denoting such a dish [adj]
MAKHANIS	MAKHANI, Indian dish made with butter or ghee [n]
MAKHNI	makhani (Indian dish made with butter or ghee)
MALI	member of an Indian caste [n]
MALIK	person of authority in India [n]
MALIKS	MALIK, person of authority in India [n]
MALIS	MALI, member of an Indian caste [n]
MANDI	(in India) a big market [n]
MANDIR	Hindu or Jain temple [n]
MANDIRA	mandir (Hindu or Jain temple)
MANDIRS	MANDIR, Hindu or Jain temple [n]
MANDIS	MANDI, (in India) a big market [n]
MANGALSUTRA	necklace worn by Hindu wife [n]
MANGALSUTRAS	MANGALSUTRA, necklace worn by Hindu wife [n]
MARGOSA	Indian tree [n]
MARGOSAS	MARGOSA, Indian tree [n]
MARKHOOR	markhor (large wild Himalayan goat)
MARKHOR	large wild Himalayan goat [n]
MARKHORS	MARKHOR, large wild Himalayan goat [n]
MASOOLA	Indian boat used in surf [n]
MASOOLAH	masoola (Indian boat used in surf)
MASOOLAS	MASOOLA, Indian boat used in surf [n]
MASULA	Indian boat used in surf [n]
MASULAH	masula (Indian boat used in surf)
MASULAS	MASULA, Indian boat used in surf [n]
MAUT	mahout ((in India) elephant driver or keeper)
MAZHBI	low-caste Sikh [n]
MAZHBIS	MAZHBI, low-caste Sikh [n]
MEHENDI	mehndi ((esp in India) the practice of painting designs on the hands, feet, etc using henna)
MEHNDI	(esp in India) the practice of painting designs on the hands, feet, etc using henna [n]
MEHNDIS	MEHNDI, (esp in India) the practice of painting designs on the hands, feet, etc using henna [n]
MELA	Indian cultural or religious fair or festival [n]
MELAS	MELA, Indian cultural or religious fair or festival [n]
MELIK	malik (person of authority in India)
MEMSAHIB	(formerly, in India) term of respect used for a European married woman [n]
MEMSAHIBS	MEMSAHIB, (formerly, in India) term of respect used for a European married woman [n]
MOCUDDUM	muqaddam (person of authority in India)
MOFUSSIL	provincial area in India [n]
MOFUSSILS	MOFUSSIL, provincial area in India [n]
MOHUR	former Indian gold coin worth 15 rupees [n]
MOHURS	MOHUR, former Indian gold coin worth 15 rupees [n]
MOKADDAM	muqaddam (person of authority in India)
MOOKTAR	mukhtar (lawyer in India)
MOOLVI	moolvie ((esp in India) Muslim learned man)
MOOLVIE	(esp in India) Muslim learned man [n]
MOOLVIES	MOOLVIE, (esp in India) Muslim learned man [n]
MOONSHEE	munshi (secretary in India)
MORCHA	(in India) hostile demonstration [n]
MORCHAS	MORCHA, (in India) hostile demonstration [n]
MOTI	derogatory Indian English word for a fat woman or girl (not_family) [n]
MOTIS	MOTI, derogatory Indian English word for a fat woman or girl (not_family) (not_family) [n]
MOTU	derogatory Indian English word for a fat man or boy (not_family) [n]
MOTUS	MOTU, derogatory Indian English word for a fat man or boy (not_family) (not_family) [n]
MOWA	mahua (Indian tree)
MOWRA	mahua (Indian tree)
MRIDAMGAM	mridang (drum used in Indian music)
MRIDANG	drum used in Indian music [n]
MRIDANGA	mridang (drum used in Indian music)
MRIDANGAM	mridang (drum used in Indian music)
MRIDANGS	MRIDANG, drum used in Indian music [n]
MUDRA	hand movement in Hindu religious dancing [n]
MUDRAS	MUDRA, hand movement in Hindu religious dancing [n]
MUGHALS	MUGHAL [n]
MUKHTAR	lawyer in India [n]
MUKHTARS	MUKHTAR, lawyer in India [n]
MULLIGATAWNIES	MULLIGATAWNY, spicy Indian soup [adj]
MULLIGATAWNY	spicy Indian soup [adj]
MUNSHI	secretary in India [n]
MUNSHIS	MUNSHI, secretary in India [n]
MUQADDAM	person of authority in India [n]
MUQADDAMS	MUQADDAM, person of authority in India [n]
NAAN	slightly leavened flat Indian bread [n]
NAANS	NAAN, slightly leavened flat Indian bread [n]
NACH	Indian dance [n]
NAGARI	scripts for writing several languages of India [n]
NAGARIS	NAGARI, scripts for writing several languages of India [n]
NAMASKAR	salutation used in India [n]
NAMASKARAM	salutation used in India [n]
NAMASKARAMS	NAMASKARAM, salutation used in India [n]
NAMASKARS	NAMASKAR, salutation used in India [n]
NAMASTE	Indian greeting [n]
NAMASTES	NAMASTE, Indian greeting [n]
NATAK	Indian English word for a drama or play [n]
NATAKS	NATAK, Indian English word for a drama or play [n]
NAUCH	nautch (intricate traditional Indian dance)
NAUTCH	intricate traditional Indian dance [n]
NAUTCHES	NAUTCH, intricate traditional Indian dance [n]
NAWAB	(formerly) a Muslim ruler or landowner in India [n]
NAWABS	NAWAB, (formerly) a Muslim ruler or landowner in India [n]
NEEM	type of large Indian tree [n]
NEEMB	neem (type of large Indian tree)
NEEMS	NEEM, type of large Indian tree [n]
NILGAI	large Indian antelope [n]
NILGAIS	NILGAI, large Indian antelope [n]
NILGHAI	nilgai (large Indian antelope)
NILGHAU	nilgai (large Indian antelope)
NOCAKE	Indian meal made from dried corn [n]
NOCAKES	NOCAKE, Indian meal made from dried corn [n]
NOTEBANDI	(in India) demonetization [n]
NOTEBANDIS	NOTEBANDI, (in India) demonetization [n]
NUMDAH	coarse felt made esp in India [n]
NUMDAHS	NUMDAH, coarse felt made esp in India [n]
NUMNAH	numdah (coarse felt made esp in India)
NUZZER	present given to a superior in India [n]
NUZZERS	NUZZER, present given to a superior in India [n]
NYLGHAI	nilgai (large Indian antelope)
NYLGHAU	nilgai (large Indian antelope)
OM	sacred syllable in Hinduism [n]
OMLAH	staff team in India [n]
OMLAHS	OMLAH, staff team in India [n]
OMS	OM, sacred syllable in Hinduism [n]
OORALI	member of Indian people [n]
OORALIS	OORALI, member of Indian people [n]
OORIAL	Himalayan sheep [n]
OORIALS	OORIAL, Himalayan sheep [n]
PACHISI	Indian game resembling backgammon [n]
PACHISIS	PACHISI, Indian game resembling backgammon [n]
PAISA	monetary unit of Bangladesh, Bhutan, India, Nepal, and Pakistan [n]
PAISAS	PAISA, monetary unit of Bangladesh, Bhutan, India, Nepal, and Pakistan [n]
PAISE	PAISA, monetary unit of Bangladesh, Bhutan, India, Nepal, and Pakistan [n]
PALAS	East Indian tree [n]
PALASES	PALAS, East Indian tree [n]
PANCHAYAT	village council in India [n]
PANCHAYATS	PANCHAYAT, village council in India [n]
PANEER	soft white cheese, used in Indian cookery [n]
PANEERS	PANEER, soft white cheese, used in Indian cookery [n]
PAPADAM	POPPADOM, thin round crisp Indian bread [n]
PAPADOM	POPPADOM, thin round crisp Indian bread [n]
PAPADUM	POPPADOM, thin round crisp Indian bread [n]
PAPPADAM	poppadom (thin round crisp Indian bread)
PAPPADOM	poppadom (thin round crisp Indian bread)
PARATHA	(in Indian cookery) flat unleavened bread [n]
PARATHAS	PARATHA, (in Indian cookery) flat unleavened bread [n]
PARDAH	purdah (Muslim and Hindu custom of keeping women in seclusion)
PARGANA	Indian sub-district [n]
PARGANAS	PARGANA, Indian sub-district [n]
PARISHAD	Indian assembly [n]
PARISHADS	PARISHAD, Indian assembly [n]
PATKA	head covering worn by Sikh men [n]
PATKAS	PATKA, head covering worn by Sikh men [n]
PATTAMAR	Indian courier [n]
PATTAMARS	PATTAMAR, Indian courier [n]
PEEPAL	peepul (Indian fig tree)
PEEPUL	Indian fig tree [n]
PEEPULS	PEEPUL, Indian fig tree [n]
PEISHWA	Indian leader [n]
PEISHWAH	peishwa (Indian leader)
PEISHWAS	PEISHWA, Indian leader [n]
PENDU	in informal Indian English, culturally backward [adj]
PERGUNNAH	pargana (Indian sub-district)
PESHWA	peishwa (Indian leader)
PHANSIGAR	Indian assassin [n]
PHANSIGARS	PHANSIGAR, Indian assassin [n]
PICE	former Indian coin worth one sixty-fourth of a rupee [n]
PIGSTICK	(esp in India) hunt and spear wild boar, esp from horseback [v]
PIGSTICKED	PIGSTICK, (esp in India) hunt and spear wild boar, esp from horseback [v]
PIGSTICKS	PIGSTICK, (esp in India) hunt and spear wild boar, esp from horseback [v]
PIGSTUCK	PIGSTICK, (esp in India) hunt and spear wild boar, esp from horseback [v]
PINDAREE	pindari (former irregular Indian horseman)
PINDARI	former irregular Indian horseman [n]
PINDARIS	PINDARI, former irregular Indian horseman [n]
PIPAL	peepul (Indian fig tree)
PIPUL	Indian fig tree [n]
PIPULS	PIPUL, Indian fig tree [n]
POISHA	monetary unit of Bangladesh [n]
POISHAS	POISHA, monetary unit of Bangladesh [n]
PONGAL	Indian dish of cooked rice [n]
PONGALS	PONGAL, Indian dish of cooked rice [n]
POOGYE	Hindu nose-flute [n]
POOGYES	POOGYE, Hindu nose-flute [n]
POORI	unleavened Indian bread [n]
POORIS	POORI, unleavened Indian bread [n]
POPADUM	poppadom (thin round crisp Indian bread)
POPPADOM	thin round crisp Indian bread [n]
POPPADOMS	POPPADOM, thin round crisp Indian bread [n]
POPPADUM	poppadom (thin round crisp Indian bread)
PRACHARAK	(in India) person appointed to propagate a cause through personal contact, meetings, public lectures, etc [n]
PRACHARAKS	PRACHARAK, (in India) person appointed to propagate a cause through personal contact, meetings, public lectures, etc [n]
PRADHAN	(in India) chief or leader [n]
PRADHANS	PRADHAN, (in India) chief or leader [n]
PREPUEBLO	belonging to the period before the Pueblo Indians [adj]
PUJARI	Hindu priest [n]
PUJARIS	PUJARI, Hindu priest [n]
PULTAN	Indian infantry regiment [n]
PULTANS	PULTAN, Indian infantry regiment [n]
PULTON	pultan (Indian infantry regiment)
PULTOON	pultan (Indian infantry regiment)
PULTUN	pultan (Indian infantry regiment)
PULWAR	light Indian river boat [n]
PULWARS	PULWAR, light Indian river boat [n]
PUPPODUM	poppadom (thin round crisp Indian bread)
PURANA	type of Sanskrit sacred writing [n]
PURANAS	PURANA, type of Sanskrit sacred writing [n]
PURANIC	PURANA, type of Sanskrit sacred writing [n]
PURDA	purdah (Muslim and Hindu custom of keeping women in seclusion)
PURDAH	Muslim and Hindu custom of keeping women in seclusion [n]
PURDAHED	PURDAH, Muslim and Hindu custom of keeping women in seclusion [n]
PURDAHS	PURDAH, Muslim and Hindu custom of keeping women in seclusion [n]
PURI	unleavened flaky Indian bread that is deep-fried in ghee [n]
PURIS	PURI, unleavened flaky Indian bread that is deep-fried in ghee [n]
PUTELI	(in India) type of boat [n]
PUTELIS	PUTELI, (in India) type of boat [n]
PYENGADU	PYINKADO, leguminous tree native to India and Myanmar [n]
PYINKADO	leguminous tree native to India and Myanmar [n]
PYINKADOS	PYINKADO, leguminous tree native to India and Myanmar [n]
QEEMA	keema ((in Indian cookery) minced meat)
QORMA	KORMA, type of mild Indian dish [n]
RABI	(in Pakistan, India, etc) a crop that is harvested at the end of winter [n]
RABIS	RABI, (in Pakistan, India, etc) a crop that is harvested at the end of winter [n]
RAGA	pattern of melody and rhythm in Indian music [n]
RAGAS	RAGA, pattern of melody and rhythm in Indian music [n]
RAGINI	Indian musical form related to a raga [n]
RAGINIS	RAGINI, Indian musical form related to a raga [n]
RAITA	Indian dish of chopped cucumber, mint, etc in yogurt [n]
RAITAS	RAITA, Indian dish of chopped cucumber, mint, etc in yogurt [n]
RAIYAT	ryot ((in India) a peasant or tenant farmer)
RAIYATWARI	a system of peasantry in India [n]
RAIYATWARIS	RAIYATWARI, a system of peasantry in India [n]
RAJ	(in India) government [n]
RAJA	rajah (Indian ruler)
RAJAH	Indian ruler [n]
RAJAHS	RAJAH, Indian ruler [n]
RAJAHSHIP	RAJAH, Indian ruler [n]
RAJAHSHIPS	RAJAH, Indian ruler [n]
RAJES	RAJ, (in India) government [n]
RAJPRAMUKH	the head of a state or states union in the Democratic Republic of India [n]
RAJPRAMUKHS	RAJPRAMUKH, the head of a state or states union in the Democratic Republic of India [n]
RAKSHAS	rakshasa (Hindu demon)
RAKSHASA	Hindu demon [n]
RAKSHASAS	RAKSHASA, Hindu demon [n]
RAMTIL	African plant grown in India esp for its oil [n]
RAMTILLA	ramtil (African plant grown in India esp for its oil)
RAMTILS	RAMTIL, African plant grown in India esp for its oil [n]
RANGOLI	traditional Indian ground decoration [n]
RANGOLIS	RANGOLI, traditional Indian ground decoration [n]
RASMALAI	Indian dessert made from cheese, milk, and almonds [n]
RASMALAIS	RASMALAI, Indian dessert made from cheese, milk, and almonds [n]
RATHA	(in India) a four-wheeled carriage drawn by horses or bullocks [n]
RATHAS	RATHA, (in India) a four-wheeled carriage drawn by horses or bullocks [n]
REGAR	regur (black loamy Indian soil)
REGUR	black loamy Indian soil [n]
REGURS	REGUR, black loamy Indian soil [n]
REH	(in India) salty surface crust on the soil [n]
REHS	REH, (in India) salty surface crust on the soil [n]
RESSALDAR	Indian cavalry commander in mixed Anglo-Indian army [n]
RESSALDARS	RESSALDAR, Indian cavalry commander in mixed Anglo-Indian army [n]
RHANJA	Indian English word for a male lover (not_family) [n]
RHANJAS	RHANJA, Indian English word for a male lover (not_family) (not_family) [n]
RISALDAR	Indian cavalry officer [n]
RISALDARS	RISALDAR, Indian cavalry officer [n]
RISHI	Indian seer or sage [n]
RISHIS	RISHI, Indian seer or sage [n]
ROSELLE	Indian flowering plant [n]
ROSELLES	ROSELLE, Indian flowering plant [n]
ROTI	(in India and the Caribbean) a type of unleavened bread [n]
ROTIS	ROTI, (in India and the Caribbean) a type of unleavened bread [n]
ROZELLE	roselle (Indian flowering plant)
RUPEE	monetary unit of India and Pakistan [n]
RUPEES	RUPEE, monetary unit of India and Pakistan [n]
RYOT	(in India) a peasant or tenant farmer [n]
RYOTS	RYOT, (in India) a peasant or tenant farmer [n]
RYOTWARI	(in India) system of land tenure in which land taxes are paid to the state [n]
RYOTWARIS	RYOTWARI, (in India) system of land tenure in which land taxes are paid to the state [n]
SAAG	(in Indian cookery) spinach [n]
SAAGS	SAAG, (in Indian cookery) spinach [n]
SADDHU	sadhu (Hindu wandering holy man)
SADHU	Hindu wandering holy man [n]
SADHUS	SADHU, Hindu wandering holy man [n]
SAHEB	sahib (Indian term of address placed after a man's name as a mark of respect)
SAHIB	Indian term of address placed after a man's name as a mark of respect [n]
SAHIBA	respectful Indian term of address for woman [n]
SAHIBAS	SAHIBA, respectful Indian term of address for woman [n]
SAHIBS	SAHIB, Indian term of address placed after a man's name as a mark of respect [n]
SAHIWAL	breed of cattle in India [n]
SAHIWALS	SAHIWAL, breed of cattle in India [n]
SAICE	syce ((formerly, in India) a servant employed to look after horses, etc)
SAKTI	wife of a Hindu god [n]
SAKTIS	SAKTI, wife of a Hindu god [n]
SAMAJ	Indian English word for an official association [n]
SAMAJES	SAMAJ, Indian English word for an official association [n]
SAMBHAR	Indian dish [n]
SAMBHARS	SAMBHAR, Indian dish [n]
SAMITHI	samiti ((in India) an association, esp one formed to organize political activity)
SAMITI	(in India) an association, esp one formed to organize political activity [n]
SAMITIS	SAMITI, (in India) an association, esp one formed to organize political activity [n]
SAMMIES	SAMMY, (in South Africa) an Indian fruit and vegetable vendor [n]
SAMMY	(in South Africa) an Indian fruit and vegetable vendor [n]
SAMOSA	(in Indian cookery) a small fried triangular spiced meat or vegetable pasty [n]
SAMOSAS	SAMOSA, (in Indian cookery) a small fried triangular spiced meat or vegetable pasty [n]
SAMSARIC	relating to the eternal cycle of birth, suffering, death and rebirth in Indian religions [adj]
SAMSKARA	Hindu purification ceremony [n]
SAMSKARAS	SAMSKARA, Hindu purification ceremony [n]
SANGAT	local Sikh community or congregation [n]
SANGATS	SANGAT, local Sikh community or congregation [n]
SANGEET	Indian pre-wedding celebration [n]
SANGEETS	SANGEET, Indian pre-wedding celebration [n]
SANGH	Indian union or association [n]
SANGHAT	sangat (local Sikh community or congregation)
SANGHS	SANGH, Indian union or association [n]
SANNYASI	Brahman who having attained the last stage of life as a beggar will not be reborn [n]
SANNYASIN	sannyasi (Brahman who having attained the last stage of life as a beggar will not be reborn)
SANNYASIS	SANNYASI, Brahman who having attained the last stage of life as a beggar will not be reborn [n]
SANT	devout person in India [n]
SANTS	SANT, devout person in India [n]
SANYASI	sannyasi (Brahman who having attained the last stage of life as a beggar will not be reborn)
SARANGI	stringed instrument of India played with a bow [n]
SARANGIS	SARANGI, stringed instrument of India played with a bow [n]
SARDAR	title used before the name of Sikh men [n]
SARDARS	SARDAR, title used before the name of Sikh men [n]
SAROD	Indian stringed musical instrument [n]
SARODE	Indian stringed instrument [n]
SARODES	SARODE, Indian stringed instrument [n]
SARODS	SAROD, Indian stringed musical instrument [n]
SARUS	Indian bird of crane family [n]
SARUSES	SARUS, Indian bird of crane family [n]
SASIN	BLACKBUCK, Indian antelope, the male of which has spiral horns, a dark back, and a white belly [n]
SASTRA	shastra (any of the sacred writings of Hinduism)
SATI	Indian widow suicide [n]
SATIS	SATI, Indian widow suicide [n]
SATSANG	sacred gathering in Hinduism [n]
SATSANGS	SATSANG, sacred gathering in Hinduism [n]
SAVARI	Indian English word for a passenger [n]
SAVARIS	SAVARI, Indian English word for a passenger [n]
SEACUNNIES	SEACUNNY, steersman on an Indian ship [n]
SEACUNNY	steersman on an Indian ship [n]
SEBUNDIES	SEBUNDY, irregular soldier in India [n]
SEBUNDY	irregular soldier in India [n]
SEIR	fish of Indian seas [n]
SEIRS	SEIR, fish of Indian seas [n]
SENA	(in India) the army [n]
SENAS	SENA, (in India) the army [n]
SEPOY	(formerly) Indian soldier in the service of the British [n]
SEPOYS	SEPOY, (formerly) Indian soldier in the service of the British [n]
SER	unit of weight used in India [n]
SERS	SER, unit of weight used in India [n]
SEV	Indian snack of deep-fried noodles [n]
SEVS	SEV, Indian snack of deep-fried noodles [n]
SHABASH	(in Indian English) bravo or well done [interj]
SHAMA	Indian songbird [n]
SHAMAS	SHAMA, Indian songbird [n]
SHAMIANA	tent in India [n]
SHAMIANAH	tent in India [n]
SHAMIANAHS	SHAMIANAH, tent in India [n]
SHAMIANAS	SHAMIANA, tent in India [n]
SHAMIYANAH	in India, a large tent, awning or canopy [n]
SHAMIYANAHS	SHAMIYANAH, in India, a large tent, awning or canopy [n]
SHASTER	shastra (any of the sacred writings of Hinduism)
SHASTRA	any of the sacred writings of Hinduism [n]
SHASTRAS	SHASTRA, any of the sacred writings of Hinduism [n]
SHAYA	Indian plant [n]
SHAYAS	SHAYA, Indian plant [n]
SHEHNAI	Indian wind instrument [n]
SHEHNAIS	SHEHNAI, Indian wind instrument [n]
SHENAI	shehnai (Indian wind instrument)
SHERWANI	long coat closed up to the neck, worn by men in India [n]
SHERWANIS	SHERWANI, long coat closed up to the neck, worn by men in India [n]
SHIKAREE	shikari ((in India) a hunter)
SHIKARI	(in India) a hunter [n]
SHIKARIS	SHIKARI, (in India) a hunter [n]
SHOLA	Indian plant [n]
SHOLAS	SHOLA, Indian plant [n]
SHRADDHA	Hindu offering to an ancestor [n]
SHRADDHAS	SHRADDHA, Hindu offering to an ancestor [n]
SHRI	Indian title of respect [n]
SHRIS	SHRI, Indian title of respect [n]
SICE	syce ((formerly, in India) a servant employed to look after horses, etc)
SIDDHA	(in Hinduism) person who has achieved perfection [n]
SIDDHAS	SIDDHA, (in Hinduism) person who has achieved perfection [n]
SIDDHI	(in Hinduism) power attained with perfection [n]
SIDDHIS	SIDDHI, (in Hinduism) power attained with perfection [n]
SIDDHUISM	(in Indian English) any contrived metaphor or simile [n]
SIDDHUISMS	SIDDHUISM, (in Indian English) any contrived metaphor or simile [n]
SIDHA	(in Hinduism) person who has achieved perfection [n]
SIDHAS	SIDHA, (in Hinduism) person who has achieved perfection [n]
SILLADAR	Indian irregular cavalryman [n]
SILLADARS	SILLADAR, Indian irregular cavalryman [n]
SIRCAR	government in India [n]
SIRCARS	SIRCAR, government in India [n]
SIRDAR	sardar (title used before the name of Sikh men)
SIRKAR	government in India [n]
SIRKARS	SIRKAR, government in India [n]
SISSOO	Indian tree [n]
SISSOOS	SISSOO, Indian tree [n]
SITAR	Indian stringed musical instrument [n]
SITARIST	SITAR, Indian stringed musical instrument [n]
SITARISTS	SITAR, Indian stringed musical instrument [n]
SITARS	SITAR, Indian stringed musical instrument [n]
SMRITI	class of Hindu sacred literature [n]
SMRITIS	SMRITI, class of Hindu sacred literature [n]
SOLA	Indian plant [n]
SOLAH	Indian plant [n]
SOLAHS	SOLAH, Indian plant [n]
SOLAS	SOLA, Indian plant [n]
SONDELI	Indian shrew [n]
SONDELIS	SONDELI, Indian shrew [n]
SONERI	Indian cloth of gold [n]
SONERIS	SONERI, Indian cloth of gold [n]
SOUCAR	Indian banker [n]
SOUCARS	SOUCAR, Indian banker [n]
SOWAR	Indian cavalryman [n]
SOWARREE	Indian mounted escort [n]
SOWARREES	SOWARREE, Indian mounted escort [n]
SOWARRY	sowarree (Indian mounted escort)
SOWARS	SOWAR, Indian cavalryman [n]
SOWCAR	soucar (Indian banker)
SPIKENARD	fragrant Indian plant with rose-purple flowers [n]
SPIKENARDS	SPIKENARD, fragrant Indian plant with rose-purple flowers [n]
SPONGEWOOD	an Indian plant with a pith used in making tropical hats, aka sola [n]
SPONGEWOODS	SPONGEWOOD, an Indian plant with a pith used in making tropical hats, aka sola [n]
SRADDHA	Hindu offering to ancestor [n]
SRADDHAS	SRADDHA, Hindu offering to ancestor [n]
SRADHA	sraddha (Hindu offering to ancestor)
SRI	title of respect used when addressing a Hindu [n]
SRIS	SRI, title of respect used when addressing a Hindu [n]
SRUTI	class of Hindu sacred literature [n]
SRUTIS	SRUTI, class of Hindu sacred literature [n]
SUBADAR	chief native officer of a company of Indian soldiers in the British service [n]
SUBADARS	SUBADAR, chief native officer of a company of Indian soldiers in the British service [n]
SUBAH	subadar (chief native officer of a company of Indian soldiers in the British service)
SUBAHDAR	subadar (chief native officer of a company of Indian soldiers in the British service)
SUBEDAR	subadar (chief native officer of a company of Indian soldiers in the British service)
SUDDER	supreme court in India [n]
SUDDERS	SUDDER, supreme court in India [n]
SUNDARI	Indian tree [n]
SUNDARIS	SUNDARI, Indian tree [n]
SUNDRA	sundari (Indian tree)
SUNDRI	sundari (Indian tree)
SUPERBAZAAR	in India, a large department store or supermarket, esp one set up as a cooperative store by the government [n]
SUPERBAZAARS	SUPERBAZAAR, in India, a large department store or supermarket, esp one set up as a cooperative store by the government [n]
SUPERBAZAR	superbazaar (in India, a large department store or supermarket, esp one set up as a cooperative store by the government)
SURAT	cotton fabric from Surat in India [n]
SURATS	SURAT, cotton fabric from Surat in India [n]
SURBAHAR	Indian string instrument [n]
SURBAHARS	SURBAHAR, Indian string instrument [n]
SUTRA	Sanskrit sayings or collections of sayings [n]
SUTRAS	SUTRA, Sanskrit sayings or collections of sayings [n]
SVARAJ	swaraj ((in British India) self-government)
SWACHH	(in Indian English) clean [adj]
SWAMI	Hindu religious teacher [n]
SWAMIES	SWAMI, Hindu religious teacher [n]
SWAMIS	SWAMI, Hindu religious teacher [n]
SWAMY	swami (Hindu religious teacher)
